Time [s],Channel 0,Channel 1
4.385050125,0,0
4.385050667,1,0
4.385060500,1,1
4.385065458,1,0
4.385070542,1,1
4.385075500,1,0
4.385075625,0,0
4.385080625,0,1
4.385085542,0,0
4.385090667,0,1
4.385095583,0,0
4.385100708,0,1
4.385105625,0,0
4.385110750,0,1
4.385115708,0,0
4.385120792,0,1
4.385125750,0,0
4.385130833,0,1
4.385135792,0,0
4.385136125,1,0
4.385140875,1,1
4.385145833,1,0
4.385151792,0,0
4.385156458,0,1
4.385162208,1,1
4.618486042,1,1
